index,repo_name,ncloc,code_smells,any-type_count,cognitive_complexity,framework,bug_issues_count,bug-fix_commits_count,commits_count,avg_bug-issue_time
62,hadmean/hadmean,52332.0,123.0,59.0,1165.0,react,3.0,15.0,100.0,inf
63,mirror-xyz/degen,6829.0,23.0,8.0,225.0,react,1.0,9.0,42.0,inf
64,FightingDesign/fighting-design,18211.0,105.0,0.0,792.0,vue,8.0,18.0,73.0,2365499.25
65,diego3g/rsxp-2023,1349.0,8.0,0.0,41.0,react,3.0,8.0,56.0,inf
66,mui/mui-toolpad,25103.0,190.0,223.0,2347.0,react,151.0,3.0,41.0,1651020.8791946308
67,different-ai/embedbase,,,78.0,,react,11.0,35.0,72.0,1027088.6363636364
68,wslyvh/nexth,1830.0,13.0,4.0,131.0,,4.0,5.0,50.0,inf
69,mdSilo/mdSilo-app,5263.0,74.0,0.0,625.0,react,12.0,7.0,60.0,3368098.1666666665
70,nombersDev/casemove,16419.0,191.0,164.0,1562.0,react,14.0,13.0,56.0,1314238.8461538462
71,adrianhajdin/project_nextjs13_flexibble,1551.0,15.0,2.0,62.0,react,5.0,12.0,97.0,148754.4
72,benallfree/pockethost,6424.0,126.0,77.0,574.0,No framework identified,28.0,23.0,66.0,8134350.821428572
73,pingcap/ossinsight-lite,10520.0,144.0,164.0,922.0,react,13.0,40.0,68.0,786189.5454545454
74,mantou132/nesbox,17684.0,172.0,60.0,1726.0,No framework identified,19.0,1.0,87.0,904460.8333333334
75,remix-run/grunge-stack,1263.0,0.0,2.0,77.0,react,15.0,13.0,43.0,4421491.692307692
76,premAI-io/prem-app,6580.0,69.0,3.0,185.0,react,17.0,22.0,67.0,425210.82352941175
77,kiliman/remix-typedjson,685.0,10.0,6.0,86.0,react,6.0,2.0,31.0,775449.4
78,liaoliao666/v2ex,7447.0,33.0,40.0,450.0,react,2.0,27.0,86.0,inf
79,LedgerHQ/ledger-live,,,1011.0,,,94.0,44.0,67.0,2763913.4782608696
80,gemworks/gem-farm,17204.0,95.0,72.0,400.0,,23.0,18.0,59.0,880026.4347826086
81,jycouet/kitql,2044.0,28.0,0.0,253.0,react,26.0,8.0,31.0,1450857.3846153845
82,mlomb/chat-analytics,1740.0,42.0,36.0,228.0,react,13.0,13.0,87.0,1250447.6153846155
83,Dun-sin/Code-Magic,2546.0,27.0,0.0,203.0,No framework identified,70.0,20.0,39.0,333463.3823529412
84,pheralb/slug,1815.0,16.0,0.0,64.0,react,1.0,3.0,70.0,inf
85,scale8/scale8-tag-manager-and-analytics,,,1093.0,,react,1.0,23.0,79.0,inf
86,denoland/showcase_chat,1191.0,12.0,0.0,50.0,No framework identified,5.0,23.0,66.0,4195520.6
87,AlexandroMtzG/remix-page-blocks,9024.0,76.0,14.0,652.0,react,1.0,5.0,42.0,inf
88,priyankarpal/ProjectsHut,1675.0,30.0,7.0,72.0,react,20.0,28.0,40.0,30123.11111111111
89,MananTank/cybertype,1508.0,8.0,0.0,144.0,react,1.0,9.0,45.0,inf
90,calcom/synclinear.com,4890.0,35.0,14.0,775.0,react,43.0,16.0,89.0,2523626.214285714
91,harlan-zw/nuxt-delay-hydration,904.0,13.0,1.0,106.0,No framework identified,15.0,18.0,36.0,4108051.0714285714
92,FuelLabs/swayswap,10296.0,52.0,0.0,398.0,react,45.0,48.0,83.0,729269.3555555556
93,ionic-team/trapeze,,,156.0,,react,54.0,7.0,33.0,1247184.6981132077
94,jbilcke/latent-browser,1396.0,17.0,6.0,31.0,react,4.0,17.0,46.0,inf
95,nrwl/monorepo.tools,4590.0,3.0,3.0,16.0,react,1.0,9.0,47.0,inf
96,noahflk/railtrack,4253.0,12.0,0.0,242.0,react,6.0,5.0,68.0,260506.0
97,danloh/mdSilo-web,8903.0,91.0,0.0,780.0,react,3.0,14.0,94.0,inf
98,skillrecordings/products,8977.0,69.0,1276.0,407.0,,11.0,21.0,78.0,2172923.363636364
99,FrontendMasters/remix-fundamentals,26571.0,117.0,0.0,1751.0,react,3.0,9.0,46.0,inf
100,tastejs/angular-movies,5351.0,29.0,51.0,183.0,angular,4.0,10.0,31.0,inf
101,zerforschung/schnelltesttest.de,1381.0,15.0,1.0,118.0,react,1.0,8.0,45.0,inf
