index,repo_name,ncloc,code_smells,any-type_count,cognitive_complexity,framework,bug_issues_count,bug-fix_commits_count,commits_count,avg_bug-issue_time
61,Kanika637/amazon-clone,2064.0,47.0,,46.0,react,21.0,3.0,57.0,614936.5
62,Meta3D-Technology/Meta3D,67065.0,9177.0,,11075.0,react,1.0,12.0,32.0,inf
63,Akshima-Ghai/OneEducationalWebsiteForAll,4347.0,29.0,,196.0,react,11.0,2.0,68.0,416701.7
64,Daksh777/TakeABreak,1013.0,155.0,,315.0,No framework identified,22.0,2.0,56.0,925189.3181818182
65,harshmangalam/hydrogen-solidjs-client,8308.0,62.0,,122.0,No framework identified,8.0,26.0,89.0,329459.125
66,small-tech/nodekit,3384.0,154.0,,391.0,foundation,3.0,13.0,77.0,inf
67,neesjanvaneck/VOSviewer-Online,11363.0,52.0,,1690.0,react,13.0,15.0,40.0,1588864.3076923075
68,GregVido/mica-electron,401.0,1.0,,56.0,No framework identified,7.0,17.0,32.0,1571285.142857143
69,Stoccoin-Official/Stoccoin-Website,2260.0,10.0,,62.0,react,40.0,16.0,67.0,2220872.789473684
70,dappnetbby/dappnet,3063.0,268.0,,376.0,react,13.0,8.0,62.0,3160214.0
71,UBA-GCOEN/StichHub,19159.0,556.0,,665.0,react,17.0,7.0,59.0,263456.75
72,davunt/app-eraser,716.0,11.0,,43.0,No framework identified,1.0,4.0,42.0,inf
73,sudojia/scripts,365.0,1.0,,98.0,No framework identified,1.0,1.0,57.0,inf
74,shi-yan/Epiphany,4651.0,198.0,,1081.0,No framework identified,2.0,20.0,73.0,inf
75,OrbisWeb3/orbis-sdk,2238.0,89.0,,402.0,No framework identified,1.0,4.0,34.0,inf
76,StreamAble-Team/StreamAble-app,12358.0,296.0,,376.0,react,10.0,16.0,58.0,40278.8
77,rohansx/informatician,5801.0,54.0,,152.0,react,201.0,26.0,83.0,116161.8345323741
78,quiqr/quiqr-desktop,19886.0,376.0,,2326.0,react,111.0,13.0,59.0,9295659.555555556
79,TeamAOF/All-of-Fabric-6,7626.0,2.0,,20.0,No framework identified,57.0,7.0,48.0,915396.8596491228
80,llopisdon/skies-adsb,1332.0,9.0,,189.0,No framework identified,1.0,12.0,67.0,inf
81,lmachens/skeleton,974.0,4.0,,143.0,No framework identified,4.0,5.0,43.0,inf
82,gabrysia694/Gym-Junkies,1026.0,6.0,,27.0,react,17.0,8.0,33.0,126419.5625
83,usmansbk/pomofocus,1152.0,0.0,,44.0,react,1.0,2.0,85.0,inf
84,ZigZagExchange/frontend,21625.0,218.0,,2302.0,react,24.0,40.0,94.0,425434.7916666667
85,Persian-Caesar/Ticker-Boy,2465.0,118.0,,698.0,express,1.0,3.0,68.0,inf
86,jessejanderson/skylink,182.0,2.0,,69.0,No framework identified,3.0,6.0,42.0,inf
87,CTF-Cafe/CTF_Cafe_platform,12275.0,255.0,,1737.0,react,11.0,6.0,83.0,1917518.6363636365
88,GamerKingFaiz/shouldiplay,736.0,3.0,,40.0,react,3.0,6.0,51.0,inf
89,ianb/llm-garden,16341.0,177.0,,2400.0,preact,2.0,13.0,95.0,inf
90,leomcelroy/svg-pcb,31018.0,2282.0,,9228.0,No framework identified,6.0,10.0,95.0,1608153.8
91,seths10/Quotes-Generator,6921.0,3.0,,4.0,No framework identified,1.0,4.0,88.0,inf
92,cyboholics/portfolioshop,4374.0,54.0,,118.0,react,7.0,3.0,31.0,3986195.5714285714
93,whitespider-dev/whitespider,100842.0,6702.0,,22715.0,No framework identified,1.0,2.0,57.0,inf
94,leolee9086/cc-image-tag-new,73445.0,4133.0,,60205.0,No framework identified,18.0,4.0,76.0,411353.3333333333
95,NovaAppsInc/fracital-proxy,60164.0,8935.0,,42512.0,express,6.0,1.0,37.0,4780457.0
96,spandan114/Crowdfunding-DAPP,1314.0,51.0,,69.0,react,1.0,2.0,34.0,inf
97,terwer/siyuan-plugin-publisher,10344.0,26.0,,711.0,vue,24.0,14.0,58.0,898895.1818181818
98,zoom/zoomapps-sample-js,526.0,0.0,,50.0,express,3.0,7.0,53.0,inf
99,GrabBits/GrabBits_Website,4819.0,63.0,,194.0,react,33.0,21.0,59.0,215145.1935483871
100,shohan-pherones/euphoria-ecommerce,2231.0,5.0,,64.0,react,2.0,9.0,94.0,inf
101,developerforce/salesforce-slack-starter-kit,1199.0,3.0,,73.0,express,5.0,18.0,46.0,5746881.0
