index,repo_name,code-smells_ncloc,bug-fix-commits_ratio,avg_bug-issue_time,cognitive-complexity_ncloc
1,appium/appium,0.0065385377451951,0.2299219825608077,2130098.709759189,0.0978799286704973
2,responsively-org/responsively-app,0.0118554654262862,0.2211538461538461,2347294.975,0.0561574678087242
3,FredrikNoren/ungit,0.0081594885598923,0.0944607974310944,2776888.1818181816,0.1270188425302826
4,sdelements/lets-chat,0.0135779286436515,0.0557421087978509,1887674.797619048,0.1570128556983966
5,HabitRPG/habitica,0.009581928575286,0.281354401805869,2644232.033557047,0.088027218231895
6,qeeqbox/social-analyzer,0.0293492131008081,0.0104321907600596,inf,0.43428328370906
7,zhukov/webogram,0.0292653029954799,0.0927552140504939,2349989.0078125,0.3174366046119666
8,rawgraphs/rawgraphs-app,0.0150504532238754,0.1127232142857142,3235140.6764705884,0.0944073884043099
9,angular-app/angular-app,0.0315955766192733,0.1552162849872773,2303343.333333333,0.0547656661400737
10,1j01/jspaint,0.0309306006384633,0.0379421221864951,5094668.566666666,0.3181586501059634
11,benoitvallon/react-native-nw-react-calculator,0.0037359900373599,0.0268817204301075,inf,0.0485678704856787
12,szimek/sharedrop,0.0108323831242873,0.0564516129032258,4967329.5,0.0524515393386545
13,prose/prose,0.0245799194556311,0.0591413989792855,2615136.45045045,0.1351201222052492
14,tutao/tutanota,0.0112863940877525,0.2907900888265544,2752473.630897317,0.1147360218768837
15,oklai/koala,0.0139013452914798,0.1529126213592233,2110960.9487179485,0.2378923766816143
16,wei/pull,0.0063041765169424,0.0254237288135593,1631852.4444444445,0.1205673758865248
17,async-labs/builderbook,0.0061278927258308,0.0503875968992248,810039.35,0.0814288803979525
18,Melvin-Abraham/Google-Assistant-Unofficial-Desktop-Client,0.0154412806346508,0.132,714607.0842105263,0.1964867544978042
19,streamlink/streamlink-twitch-gui,0.007913724881682,0.0687893081761006,1572441.4090909092,0.0590943181524297
20,zedapp/zed,0.0291399338628077,0.0541666666666666,1798703.5625,0.6991888301630819
21,mephux/komanda,0.04013889331337,0.1478696741854636,356446.8085106383,1.385365232072887
22,konstantinmuenster/notion-clone,0.0050596313697144,0.0508474576271186,inf,0.0907119624141669
