index,repo_name,ncloc,code_smells,any-type_count,cognitive_complexity,framework,bug_issues_count,bug-fix_commits_count,commits_count
49,tdjsnelling/sqtracker,11564.0,120.0,,1144.0,,,,
50,fjwillemsen/NativeOverleaf,1699.0,85.0,,459.0,,,,
51,immortalwrt/homeproxy,2775.0,200.0,,640.0,,,,
52,joshcawthorne/LunaDesk,5842.0,157.0,,198.0,,,,
53,MonalikaPatnaik/UMatter,5167.0,111.0,,127.0,,,,
54,ckalgos/fut-trade-enhancer,6868.0,40.0,,785.0,,,,
55,Project-And-Factory/BlurLyric,12292.0,253.0,,1323.0,,,,
56,acikyazilimagi/deprem-io-backend,1536.0,31.0,,204.0,,,,
57,alphabit-technology/erpnext-restaurant,5481.0,59.0,,963.0,,,,
58,Kanika637/amazon-clone,2064.0,47.0,,46.0,,,,
59,Meta3D-Technology/Meta3D,67065.0,9177.0,,11075.0,,,,
60,Akshima-Ghai/OneEducationalWebsiteForAll,4347.0,29.0,,196.0,,,,
61,Daksh777/TakeABreak,1013.0,155.0,,315.0,,,,
62,harshmangalam/hydrogen-solidjs-client,8308.0,62.0,,122.0,,,,
63,small-tech/nodekit,3384.0,154.0,,391.0,,,,
64,neesjanvaneck/VOSviewer-Online,11363.0,52.0,,1690.0,,,,
65,GregVido/mica-electron,401.0,1.0,,56.0,,,,
66,Stoccoin-Official/Stoccoin-Website,2260.0,10.0,,62.0,,,,
67,dappnetbby/dappnet,3063.0,268.0,,376.0,,,,
68,UBA-GCOEN/StichHub,19159.0,556.0,,665.0,,,,
69,davunt/app-eraser,716.0,11.0,,43.0,,,,
70,sudojia/scripts,365.0,1.0,,98.0,,,,
71,shi-yan/Epiphany,4651.0,198.0,,1081.0,,,,
72,OrbisWeb3/orbis-sdk,2238.0,89.0,,402.0,,,,
73,StreamAble-Team/StreamAble-app,12358.0,296.0,,376.0,,,,
74,rohansx/informatician,5801.0,54.0,,152.0,,,,
75,quiqr/quiqr-desktop,19886.0,376.0,,2326.0,,,,
76,TeamAOF/All-of-Fabric-6,7626.0,2.0,,20.0,,,,
77,llopisdon/skies-adsb,1332.0,9.0,,189.0,,,,
78,lmachens/skeleton,974.0,4.0,,143.0,,,,
79,gabrysia694/Gym-Junkies,1026.0,6.0,,27.0,,,,
80,usmansbk/pomofocus,1152.0,0.0,,44.0,,,,
81,ZigZagExchange/frontend,21625.0,218.0,,2302.0,,,,
82,Persian-Caesar/Ticker-Boy,2465.0,118.0,,698.0,,,,
83,jessejanderson/skylink,182.0,2.0,,69.0,,,,
84,CTF-Cafe/CTF_Cafe_platform,12275.0,255.0,,1737.0,,,,
85,GamerKingFaiz/shouldiplay,736.0,3.0,,40.0,,,,
86,ianb/llm-garden,16341.0,177.0,,2400.0,,,,
87,leomcelroy/svg-pcb,31018.0,2282.0,,9228.0,,,,
88,seths10/Quotes-Generator,6921.0,3.0,,4.0,,,,
89,cyboholics/portfolioshop,4374.0,54.0,,118.0,,,,
90,whitespider-dev/whitespider,100842.0,6702.0,,22715.0,,,,
91,leolee9086/cc-image-tag-new,73445.0,4133.0,,60205.0,,,,
92,NovaAppsInc/fracital-proxy,60164.0,8935.0,,42512.0,,,,
93,spandan114/Crowdfunding-DAPP,1314.0,51.0,,69.0,,,,
94,terwer/siyuan-plugin-publisher,10344.0,26.0,,711.0,,,,
95,zoom/zoomapps-sample-js,526.0,0.0,,50.0,,,,
96,GrabBits/GrabBits_Website,4819.0,63.0,,194.0,,,,
97,shohan-pherones/euphoria-ecommerce,2231.0,5.0,,64.0,,,,
98,developerforce/salesforce-slack-starter-kit,1199.0,3.0,,73.0,,,,
