index,repo_name,ncloc,code_smells,any-type_count,cognitive_complexity,framework,bug_issues_count,bug-fix_commits_count,commits_count
49,socketsupply/create-socket-app,660.0,6.0,,89.0,,,,
50,bytemakers/Noteslify,5095.0,155.0,,246.0,,,,
51,R2Northstar/NorthstarMasterServer,1971.0,46.0,,384.0,,,,
52,tdjsnelling/sqtracker,11564.0,120.0,,1144.0,,,,
53,fjwillemsen/NativeOverleaf,1699.0,85.0,,459.0,,,,
54,immortalwrt/homeproxy,2775.0,200.0,,640.0,,,,
55,joshcawthorne/LunaDesk,5842.0,157.0,,198.0,,,,
56,MonalikaPatnaik/UMatter,5167.0,111.0,,127.0,,,,
57,ckalgos/fut-trade-enhancer,6868.0,40.0,,785.0,,,,
58,Project-And-Factory/BlurLyric,12292.0,253.0,,1323.0,,,,
59,acikyazilimagi/deprem-io-backend,1536.0,31.0,,204.0,,,,
60,alphabit-technology/erpnext-restaurant,5481.0,59.0,,963.0,,,,
61,Kanika637/amazon-clone,2064.0,47.0,,46.0,,,,
62,Meta3D-Technology/Meta3D,67065.0,9177.0,,11075.0,,,,
63,Akshima-Ghai/OneEducationalWebsiteForAll,4347.0,29.0,,196.0,,,,
64,Daksh777/TakeABreak,1013.0,155.0,,315.0,,,,
65,harshmangalam/hydrogen-solidjs-client,8308.0,62.0,,122.0,,,,
66,small-tech/nodekit,3384.0,154.0,,391.0,,,,
67,neesjanvaneck/VOSviewer-Online,11363.0,52.0,,1690.0,,,,
68,GregVido/mica-electron,401.0,1.0,,56.0,,,,
69,Stoccoin-Official/Stoccoin-Website,2260.0,10.0,,62.0,,,,
70,dappnetbby/dappnet,3063.0,268.0,,376.0,,,,
71,UBA-GCOEN/StichHub,19159.0,556.0,,665.0,,,,
72,davunt/app-eraser,716.0,11.0,,43.0,,,,
73,sudojia/scripts,365.0,1.0,,98.0,,,,
74,shi-yan/Epiphany,4651.0,198.0,,1081.0,,,,
75,OrbisWeb3/orbis-sdk,2238.0,89.0,,402.0,,,,
76,StreamAble-Team/StreamAble-app,12358.0,296.0,,376.0,,,,
77,rohansx/informatician,5801.0,54.0,,152.0,,,,
78,quiqr/quiqr-desktop,19886.0,376.0,,2326.0,,,,
79,TeamAOF/All-of-Fabric-6,7626.0,2.0,,20.0,,,,
80,llopisdon/skies-adsb,1332.0,9.0,,189.0,,,,
81,lmachens/skeleton,974.0,4.0,,143.0,,,,
82,gabrysia694/Gym-Junkies,1026.0,6.0,,27.0,,,,
83,usmansbk/pomofocus,1152.0,0.0,,44.0,,,,
84,ZigZagExchange/frontend,21625.0,218.0,,2302.0,,,,
85,Persian-Caesar/Ticker-Boy,2465.0,118.0,,698.0,,,,
86,jessejanderson/skylink,182.0,2.0,,69.0,,,,
87,CTF-Cafe/CTF_Cafe_platform,12275.0,255.0,,1737.0,,,,
